"trainer/global_step","causal_small - train_loss","causal_small - train_loss__MIN","causal_small - train_loss__MAX","causal_small - _step","causal_small - _step__MIN","causal_small - _step__MAX"
"28699","0.14019723236560822","0.14019723236560822","0.14019723236560822","286","286","286"
"28799","0.14117997884750366","0.14117997884750366","0.14117997884750366","287","287","287"
"28899","0.1405051201581955","0.1405051201581955","0.1405051201581955","288","288","288"
"28999","0.14503926038742065","0.14503926038742065","0.14503926038742065","289","289","289"
"29099","0.14133372902870178","0.14133372902870178","0.14133372902870178","290","290","290"
"29199","0.13910560309886932","0.13910560309886932","0.13910560309886932","291","291","291"
"29299","0.14326076209545135","0.14326076209545135","0.14326076209545135","292","292","292"
"29399","0.14197194576263428","0.14197194576263428","0.14197194576263428","293","293","293"
"29499","0.13703200221061707","0.13703200221061707","0.13703200221061707","294","294","294"
"29599","0.13627485930919647","0.13627485930919647","0.13627485930919647","295","295","295"
"29699","0.14153921604156494","0.14153921604156494","0.14153921604156494","296","296","296"
"29799","0.13568058609962463","0.13568058609962463","0.13568058609962463","297","297","297"
"29899","0.1441178321838379","0.1441178321838379","0.1441178321838379","298","298","298"
"29999","0.14426955580711365","0.14426955580711365","0.14426955580711365","299","299","299"
"30099","0.14063237607479095","0.14063237607479095","0.14063237607479095","300","300","300"
"30199","0.14648792147636414","0.14648792147636414","0.14648792147636414","301","301","301"
"30299","0.14398087561130524","0.14398087561130524","0.14398087561130524","302","302","302"
"30399","0.1488044559955597","0.1488044559955597","0.1488044559955597","303","303","303"
"30499","0.13833045959472656","0.13833045959472656","0.13833045959472656","304","304","304"
"30599","0.1409556120634079","0.1409556120634079","0.1409556120634079","305","305","305"
"30699","0.13859783113002777","0.13859783113002777","0.13859783113002777","306","306","306"
"30799","0.138960063457489","0.138960063457489","0.138960063457489","307","307","307"
"30899","0.1412731260061264","0.1412731260061264","0.1412731260061264","308","308","308"
"30999","0.14112108945846558","0.14112108945846558","0.14112108945846558","309","309","309"
"31099","0.1361316591501236","0.1361316591501236","0.1361316591501236","310","310","310"
"31199","0.1430836170911789","0.1430836170911789","0.1430836170911789","311","311","311"
"31299","0.1342674344778061","0.1342674344778061","0.1342674344778061","312","312","312"
"31399","0.14065994322299957","0.14065994322299957","0.14065994322299957","313","313","313"
"31499","0.14460285007953644","0.14460285007953644","0.14460285007953644","314","314","314"
"31599","0.13769257068634033","0.13769257068634033","0.13769257068634033","315","315","315"
"31699","0.1347445547580719","0.1347445547580719","0.1347445547580719","316","316","316"
"31799","0.13911260664463043","0.13911260664463043","0.13911260664463043","317","317","317"
"31899","0.13991178572177887","0.13991178572177887","0.13991178572177887","318","318","318"
